"linux_version","arch_abi","number","name","linux_entry","design_section","owner","implementation_plan","validation_focus","delivery_class","source"
"v6.12","x86-64 LP64 (common)","0","read","sys_read","18","IoRequest / OFD","按同步、位置型与向量 I/O 契约执行；共享位置由稳定完成 owner 提交实际字节数","短读写、iovec 边界、offset、取消和完成竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","1","write","sys_write","18","IoRequest / OFD","按同步、位置型与向量 I/O 契约执行；共享位置由稳定完成 owner 提交实际字节数","短读写、iovec 边界、offset、取消和完成竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","2","open","sys_open","16","VFS / Inode / FsContext","路径解析和 inode/dentry 事务执行；权限、旧 fd 存续及日志一致性统一处理","dirfd/symlink/root 边界、权限、并发 rename、失败恢复","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","3","close","sys_close","17","Files / OpenDescription","操作带 generation 的 fd/OFD 引用；fcntl/锁子命令进入其有类型状态机","dup/close/fork/exec、fd 重用、锁和异步 owner","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","4","stat","sys_newstat","16","VFS / Inode / FsContext","路径解析和 inode/dentry 事务执行；权限、旧 fd 存续及日志一致性统一处理","dirfd/symlink/root 边界、权限、并发 rename、失败恢复","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","5","fstat","sys_newfstat","16","VFS / Inode / FsContext","路径解析和 inode/dentry 事务执行；权限、旧 fd 存续及日志一致性统一处理","dirfd/symlink/root 边界、权限、并发 rename、失败恢复","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","6","lstat","sys_newlstat","16","VFS / Inode / FsContext","路径解析和 inode/dentry 事务执行；权限、旧 fd 存续及日志一致性统一处理","dirfd/symlink/root 边界、权限、并发 rename、失败恢复","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","7","poll","sys_poll","19","ReadySource / Epoll","组合稳定就绪对象和 signal mask 等待；原生机制不可用时使用事件后端","ET/ONESHOT、fd 重用、mask 切换与丢失唤醒","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","8","lseek","sys_lseek","17","Files / OpenDescription","操作带 generation 的 fd/OFD 引用；fcntl/锁子命令进入其有类型状态机","dup/close/fork/exec、fd 重用、锁和异步 owner","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","9","mmap","sys_mmap","12","AddressSpace / Pager","VMA 事务与固定地址后端，跨 worker mm 使用成员屏障发布布局","拆分/合并、MAP_FIXED、共享、回滚和异步写入","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","10","mprotect","sys_mprotect","12","AddressSpace / Pager","VMA 事务与固定地址后端，跨 worker mm 使用成员屏障发布布局","拆分/合并、MAP_FIXED、共享、回滚和异步写入","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","11","munmap","sys_munmap","12","AddressSpace / Pager","VMA 事务与固定地址后端，跨 worker mm 使用成员屏障发布布局","拆分/合并、MAP_FIXED、共享、回滚和异步写入","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","12","brk","sys_brk","12","AddressSpace / Pager","VMA 事务与固定地址后端，跨 worker mm 使用成员屏障发布布局","拆分/合并、MAP_FIXED、共享、回滚和异步写入","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
